ICD_CODE,DESCRIPTION
021X08D,"Bypass Thoracic Aorta, Ascending/Arch to Carotid with Zooplastic Tissue, Open Approach"
021X08P,"Bypass Thoracic Aorta, Ascending/Arch to Pulmonary Trunk with Zooplastic Tissue, Open Approach"
021X08Q,"Bypass Thoracic Aorta, Ascending/Arch to Right Pulmonary Artery with Zooplastic Tissue, Open Approach"
021X08R,"Bypass Thoracic Aorta, Ascending/Arch to Left Pulmonary Artery with Zooplastic Tissue, Open Approach"
021X09A,"Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery with Autologous Venous Tissue, Open Approach"
021X09B,"Bypass Thoracic Aorta, Ascending/Arch to Subclavian with Autologous Venous Tissue, Open Approach"
021X09D,"Bypass Thoracic Aorta, Ascending/Arch to Carotid with Autologous Venous Tissue, Open Approach"
021X09P,"Bypass Thoracic Aorta, Ascending/Arch to Pulmonary Trunk with Autologous Venous Tissue, Open Approach"
021X09Q,"Bypass Thoracic Aorta, Ascending/Arch to Right Pulmonary Artery with Autologous Venous Tissue, Open Approach"
021X09R,"Bypass Thoracic Aorta, Ascending/Arch to Left Pulmonary Artery with Autologous Venous Tissue, Open Approach"
021X0AA,"Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery with Autologous Arterial Tissue, Open Approach"
021X0AB,"Bypass Thoracic Aorta, Ascending/Arch to Subclavian with Autologous Arterial Tissue, Open Approach"
021X0AD,"Bypass Thoracic Aorta, Ascending/Arch to Carotid with Autologous Arterial Tissue, Open Approach"
021X0AP,"Bypass Thoracic Aorta, Ascending/Arch to Pulmonary Trunk with Autologous Arterial Tissue, Open Approach"
021X0AQ,"Bypass Thoracic Aorta, Ascending/Arch to Right Pulmonary Artery with Autologous Arterial Tissue, Open Approach"
021X0AR,"Bypass Thoracic Aorta, Ascending/Arch to Left Pulmonary Artery with Autologous Arterial Tissue, Open Approach"
021X0JA,"Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery with Synthetic Substitute, Open Approach"
021X0JB,"Bypass Thoracic Aorta, Ascending/Arch to Subclavian with Synthetic Substitute, Open Approach"
021X0JD,"Bypass Thoracic Aorta, Ascending/Arch to Carotid with Synthetic Substitute, Open Approach"
021X0JP,"Bypass Thoracic Aorta, Ascending/Arch to Pulmonary Trunk with Synthetic Substitute, Open Approach"
021X0JQ,"Bypass Thoracic Aorta, Ascending/Arch to Right Pulmonary Artery with Synthetic Substitute, Open Approach"
021X0JR,"Bypass Thoracic Aorta, Ascending/Arch to Left Pulmonary Artery with Synthetic Substitute, Open Approach"
021X0KA,"Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery with Nonautologous Tissue Substitute, Open Approach"
021X0KB,"Bypass Thoracic Aorta, Ascending/Arch to Subclavian with Nonautologous Tissue Substitute, Open Approach"
021X0KD,"Bypass Thoracic Aorta, Ascending/Arch to Carotid with Nonautologous Tissue Substitute, Open Approach"
021X0KP,"Bypass Thoracic Aorta, Ascending/Arch to Pulmonary Trunk with Nonautologous Tissue Substitute, Open Approach"
021X0KQ,"Bypass Thoracic Aorta, Ascending/Arch to Right Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach"
021X0KR,"Bypass Thoracic Aorta, Ascending/Arch to Left Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach"
021X0ZA,"Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery, Open Approach"
021X0ZB,"Bypass Thoracic Aorta, Ascending/Arch to Subclavian, Open Approach"
021X0ZD,"Bypass Thoracic Aorta, Ascending/Arch to Carotid, Open Approach"
021X0ZP,"Bypass Thoracic Aorta, Ascending/Arch to Pulmonary Trunk, Open Approach"
021X0ZQ,"Bypass Thoracic Aorta, Ascending/Arch to Right Pulmonary Artery, Open Approach"
021X0ZR,"Bypass Thoracic Aorta, Ascending/Arch to Left Pulmonary Artery, Open Approach"
021X48A,"Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach"
021X48B,"Bypass Thoracic Aorta, Ascending/Arch to Subclavian with Zooplastic Tissue, Percutaneous Endoscopic Approach"
021X48D,"Bypass Thoracic Aorta, Ascending/Arch to Carotid with Zooplastic Tissue, Percutaneous Endoscopic Approach"
021X48P,"Bypass Thoracic Aorta, Ascending/Arch to Pulmonary Trunk with Zooplastic Tissue, Percutaneous Endoscopic Approach"
021X48Q,"Bypass Thoracic Aorta, Ascending/Arch to Right Pulmonary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach"
021X48R,"Bypass Thoracic Aorta, Ascending/Arch to Left Pulmonary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach"
021X49A,"Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
021X49B,"Bypass Thoracic Aorta, Ascending/Arch to Subclavian with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
021X49D,"Bypass Thoracic Aorta, Ascending/Arch to Carotid with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
021X49P,"Bypass Thoracic Aorta, Ascending/Arch to Pulmonary Trunk with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
021X49Q,"Bypass Thoracic Aorta, Ascending/Arch to Right Pulmonary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
021X49R,"Bypass Thoracic Aorta, Ascending/Arch to Left Pulmonary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
021X4AA,"Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
021X4AB,"Bypass Thoracic Aorta, Ascending/Arch to Subclavian with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
021X4AD,"Bypass Thoracic Aorta, Ascending/Arch to Carotid with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
021X4AP,"Bypass Thoracic Aorta, Ascending/Arch to Pulmonary Trunk with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
021X4AQ,"Bypass Thoracic Aorta, Ascending/Arch to Right Pulmonary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
021X4AR,"Bypass Thoracic Aorta, Ascending/Arch to Left Pulmonary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
021X4JA,"Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
021X4JB,"Bypass Thoracic Aorta, Ascending/Arch to Subclavian with Synthetic Substitute, Percutaneous Endoscopic Approach"
021X4JD,"Bypass Thoracic Aorta, Ascending/Arch to Carotid with Synthetic Substitute, Percutaneous Endoscopic Approach"
021X4JP,"Bypass Thoracic Aorta, Ascending/Arch to Pulmonary Trunk with Synthetic Substitute, Percutaneous Endoscopic Approach"
021X4JQ,"Bypass Thoracic Aorta, Ascending/Arch to Right Pulmonary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
021X4JR,"Bypass Thoracic Aorta, Ascending/Arch to Left Pulmonary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
021X4KA,"Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
021X4KB,"Bypass Thoracic Aorta, Ascending/Arch to Subclavian with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
021X4KD,"Bypass Thoracic Aorta, Ascending/Arch to Carotid with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
021X4KP,"Bypass Thoracic Aorta, Ascending/Arch to Pulmonary Trunk with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
021X4KQ,"Bypass Thoracic Aorta, Ascending/Arch to Right Pulmonary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
021X4KR,"Bypass Thoracic Aorta, Ascending/Arch to Left Pulmonary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
021X4ZA,"Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery, Percutaneous Endoscopic Approach"
021X4ZB,"Bypass Thoracic Aorta, Ascending/Arch to Subclavian, Percutaneous Endoscopic Approach"
021X4ZD,"Bypass Thoracic Aorta, Ascending/Arch to Carotid, Percutaneous Endoscopic Approach"
021X4ZP,"Bypass Thoracic Aorta, Ascending/Arch to Pulmonary Trunk, Percutaneous Endoscopic Approach"
021X4ZQ,"Bypass Thoracic Aorta, Ascending/Arch to Right Pulmonary Artery, Percutaneous Endoscopic Approach"
021X4ZR,"Bypass Thoracic Aorta, Ascending/Arch to Left Pulmonary Artery, Percutaneous Endoscopic Approach"
3610,"Aortocoronary bypass for heart revascularization, not otherwise specified"
3611,(Aorto)coronary bypass of one coronary artery
3612,(Aorto)coronary bypass of two coronary arteries
3613,(Aorto)coronary bypass of three coronary arteries
3614,(Aorto)coronary bypass of four or more coronary arteries
3615,Single internal mammary-coronary artery bypass
3616,Double internal mammary-coronary artery bypass
3617,Abdominal-coronary artery bypass
3619,Other bypass anastomosis for heart revascularization
